0BGvj,5R2/k7/p1pN4/Bp2p3/3bP3/3P4/P2r4/K1R5 w - - 2 33,a1b1 d2b2 b1a1 b2b4 c1c3 d4c3,2016,75,94,7741,discoveredAttack endgame long mate mateIn3,https://lichess.org/XMHx23Gh#65,
0BJQ6,1b2r1k1/1R3ppp/p7/4n3/1P3rP1/P2K4/B1Q5/7R w - - 13 42,d3e3 e5c4 e3d3 e8e3,2321,76,92,2410,doubleCheck mate mateIn2 middlegame short,https://lichess.org/siE6BfkH#83,
0BRGl,1r6/6pk/6Rp/4Pp1q/2Qp1P2/P7/8/1rKN2R1 w - - 3 38,c1c2 h5d1 g1d1 b8b2 c2d3 b1d1,2401,76,91,1065,deflection exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/Jt10xnKm#75,
0BSZ7,r3k2r/1p2ppbp/pq1p2p1/8/3nPPn1/2NB4/PPPQ2PP/R1B2RK1 w kq - 2 16,c3d5 d4e2 g1h1 b6g1 f1g1 g4f2,2164,84,85,574,doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate,https://lichess.org/QUuXvSWo#31,Pirc_Defense Pirc_Defense_Austrian_Attack
0BYw5,5rk1/5p1p/5Qp1/7P/1p1p4/pPqP1P2/P1PR1P2/2K3R1 w - - 1 25,c1d1 c3a1 d1e2 f8e8 f6e7 e8e7,2043,82,71,123,endgame long mate mateIn3,https://lichess.org/CaooWyti#49,
0BjAV,5R2/8/P7/8/6k1/2b3pp/8/7K w - - 2 52,a6a7 g3g2 h1h2 c3e5 h2g1 e5d4 f8f2 g4g3 a7a8q h3h2,2325,78,85,617,advancedPawn endgame exposedKing mate mateIn5 pin veryLong,https://lichess.org/oPMMTyiN#103,
0Btl1,5r1k/2P3bp/pN4p1/8/Q1P1p3/5rPq/2R2P2/1R4K1 w - - 0 34,c7c8q f3g3 f2g3 g7d4 c2f2 d4f2,2061,73,95,6680,long mate mateIn3 middlegame sacrifice,https://lichess.org/ZjsKXCw9#67,
0C3qf,2r2rk1/pR3R1p/3P2p1/2P2nN1/1Pq5/P7/3Q2PP/6K1 w - - 1 35,f7h7 c4f1 g1f1 f5g3 f1e1 f8f1,2051,75,91,534,attraction doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/mhZQrmI7#69,
0C5Ns,8/2B5/pP2k3/4P3/6p1/5p1n/6rP/5R1K w - - 3 44,b6b7 g2g1 f1g1 h3f2,2045,77,87,278,endgame mate mateIn2 sacrifice short,https://lichess.org/5M4Tgt60#87,
0CULL,5rk1/pBp2ppp/5n2/5q2/Q3r3/2B4P/PP2nPPK/R3R3 w - - 3 18,b7e4 f6g4 h3g4 f5f4 g2g3 f4f2 e4g2 f2g3 h2h1 g3h4 g2h3 h4h3,2243,100,24,68,mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/ji9fzq0l#35,French_Defense French_Defense_Knight_Variation
0CYah,2q2rk1/1p2p3/p2pb1pB/8/1n2P1P1/1Nr2P2/P1P4Q/1K1R3R w - - 0 23,h6d2 c3b3 a2b3 c8c2 b1a1 c2a2,2004,77,88,888,discoveredAttack long mate mateIn3 middlegame queensideAttack,https://lichess.org/WW5jMqt1#45,
0ClVy,4r1k1/ppP3pp/2p3p1/4n1B1/B1P1p1P1/7r/PP3P1b/R2Q1R1K w - - 0 21,d1d7 h2f4 h1g1 e5f3 g1g2 h3h2,2228,77,90,2783,discoveredAttack exposedKing hookMate long mate mateIn3 middlegame,https://lichess.org/X90THX5k#41,
0Cr8U,8/3R1ppk/5n2/Q2P4/8/2N1qp1P/P5P1/6K1 w - - 1 32,g1f1 f6e4 c3e4 e3e2 f1g1 e2g2,2337,81,81,269,endgame fork long mate mateIn3 sacrifice,https://lichess.org/Ba6PFoHz#63,
0D1Ra,1k3r2/ppp2B2/8/4p3/PP2P1p1/1QP1q1Np/7P/R4K2 w - - 1 28,a1e1 e3f3 f1g1 f3g2,2053,110,89,34,endgame mate mateIn2 short,https://lichess.org/ZLM3WbAZ#55,
0D2Fc,6k1/pQ3ppp/4R1r1/8/3q4/P4P2/BPR2KPP/3r4 w - - 3 26,e6e3 d4h4 g2g3 h4h2,2220,77,93,6886,mate mateIn2 middlegame short,https://lichess.org/SMPaxUkG#51,
0D9Jo,B3nrk1/p4ppp/2p1bq2/4n3/1b6/1PP1P1P1/PB2NP1P/RN1QK2R w KQ - 0 13,c3b4 e5f3 e1f1 e6h3,2047,77,90,2269,mate mateIn2 middlegame short,https://lichess.org/3I1qAOgB#25,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations
0DMxd,6k1/p1b4p/1pb3r1/2p2pNQ/7P/2P1q3/PP4P1/3R1RK1 w - - 1 30,g1h1 c6g2 h1g2 e3g3 g2h1 g3h2,2095,76,94,2432,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/V7DQ1YD8#59,
0DRYR,8/2B2ppk/R7/P2b4/3b4/8/1r4PP/6RK w - - 5 39,c7b6 d5g2 g1g2 b2b1 g2g1 b1g1,2037,77,94,9445,endgame long mate mateIn3 sacrifice,https://lichess.org/7z9iRbMt#77,
0EEFr,6k1/1b1nB1p1/pq1p3p/1p6/4P1n1/P1N5/1PPQ1rPP/R3R1K1 w - - 0 18,d2d6 f2f1 g1f1 b6f2,2030,75,95,9203,attraction doubleCheck kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/XyJc12ed#35,Sicilian_Defense Sicilian_Defense_Other_variations
0FLpD,2B2knr/p4pp1/4p3/1Q2P2p/1b1q4/3b4/PP1N1PPP/R1B1K1NR w KQ - 1 15,b5b8 d4e4 e1d1 d3c2,2027,78,92,2123,mate mateIn2 middlegame pin short,https://lichess.org/n3Gm2JOV#29,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
0FUL2,5r1k/R1Q5/1p1N2p1/1P2p1np/4P3/6PK/5qP1/8 w - - 2 35,h3h4 f8f4 h4g5 f4g4 g5h6 f2d2,2263,109,71,43,endgame long mate mateIn3 pin sacrifice,https://lichess.org/mrek0uGV#69,
0Fep4,8/3RQ3/6pk/2p2r1p/2P5/1P2P2P/P3qP1K/5R2 w - - 4 30,f1g1 f5f2 h2g3 f2f3 g3h4 e2f2 g1g3 f2g3,2287,85,68,107,endgame fork mate mateIn4 veryLong,https://lichess.org/0BIxHrgY#59,
0FkMy,Q7/p2R2pk/4r1r1/6q1/3B1p2/P1P4P/1P1nRPP1/7K w - - 6 43,e2d2 e6e1 h1h2 g5g3 f2g3 f4g3,2102,80,90,897,long mate mateIn3 middlegame sacrifice,https://lichess.org/QfNxVn63#85,
0GJwI,1rk4r/p4p2/2p1p3/2N4q/3Pp1p1/2P1P1Q1/PP3P2/R3RK2 w - - 3 25,g3d6 h5h1 f1e2 b8b2 e2d1 h1e1 d1e1 h8h1,2161,91,91,551,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/n922i4In#49,
0H8LG,2k1r3/ppp2ppp/b7/3p4/P2P1b2/1BN1rP2/1PPK2PP/R2R4 w - - 4 21,c3d5 e3d3,2147,81,94,2816,doubleCheck mate mateIn1 middlegame oneMove,https://lichess.org/pW6rLvpM#41,
0HBeT,1k6/pb3ppp/1p4r1/1RP5/6r1/3Nb3/2P3PP/1Q4RK w - - 1 32,c5b6 g4g2 b6a7 b8a8 b5b7 g2g1 b1g1 g6g1,2174,103,55,24,fork mate mateIn4 middlegame veryLong,https://lichess.org/BiRMUXSA#63,
0HdH1,5r1k/6p1/2QBB2p/3Pb1q1/4p3/4P1p1/1P3P1P/2R3K1 w - - 0 35,f2g3 g5e3 g1g2 f8f2 g2h3 f2h2 h3h2 e3g3 h2h1 g3h2,2208,81,94,4489,attraction mate mateIn5 middlegame sacrifice veryLong,https://lichess.org/Lu7sE015#69,
